seed,update,parameter_id,parameter_name,shape,k,quantizer,raw_residual_relative_l2,raw_residual_cosine,full_state_raw_relative_l2,full_state_raw_cosine,update_cosine,update_relative_l2,update_norm_ratio,exact_polar_cosine,exact_polar_relative_l2,residual_block_absmax_mean,residual_block_absmax_max,effective_condition_number,danger_zone_mode_count,active_mode_count,residual_relative_l2,residual_cosine,mae,median_ae,zero_fraction,small_005_mae,small_001_mae,middle_mae,large_mae,danger_diagonal_fraction_error,danger_cross_fraction_error,danger_associated_fraction_error,local_mixing_fraction_error,medium_mixing_fraction_error,distant_mixing_fraction_error,danger_diagonal_energy,danger_cross_energy,codebook_levels,calibrated_parameter
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,uniform_int3,0.384939044713974,0.9334064722061157,0.2308771312236786,0.9743226170539856,0.5558054447174072,0.9389157891273499,0.9922428727149963,0.5846264362335205,0.9114549160003662,0.0008541261195205152,0.002744528464972973,465.30328369140625,170,384,0.384939044713974,0.9334064722061157,7.054148591123521e-05,2.4483553715981543e-05,0.5518459677696228,1.9796321794274263e-05,3.974378159909975e-06,8.245486242230982e-05,8.226518548326567e-05,0.0009802011772990227,0.6154540777206421,0.6164342761039734,0.4906451404094696,0.4623364508152008,0.04443024843931198,4.328819613874657e-06,0.002718003001064062,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,uniform_int3,0.3670361042022705,0.9385809898376465,0.18274056911468506,0.983686089515686,0.6086446642875671,0.8831985592842102,0.996570885181427,0.6427698135375977,0.8452596664428711,0.0006951104733161628,0.002396000549197197,465.30328369140625,170,384,0.3670361042022705,0.9385809898376465,5.719725231756456e-05,2.178440263378434e-05,0.5408958196640015,1.6050002159317955e-05,3.2371276574849617e-06,6.628462870139629e-05,7.136171916499734e-05,0.0009855539537966251,0.6149265766143799,0.6159120798110962,0.49128565192222595,0.4617682695388794,0.04415121674537659,2.720447128012893e-06,0.0016973958117887378,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",4,uniform_int3,0.3682078719139099,0.938509464263916,0.21557964384555817,0.9775789380073547,0.5505771040916443,0.9701039791107178,1.044779658317566,0.5233328342437744,0.9763894081115723,0.006592662073671818,0.008644099347293377,82621.1015625,143,384,0.3682078719139099,0.938509464263916,0.0005479258252307773,0.000541196670383215,0.4803195595741272,0.00016616020002402365,3.3590484235901386e-05,0.0006204642122611403,0.0005888501182198524,0.0008203686447814107,0.6049950122833252,0.6058154106140137,0.3771761953830719,0.47126084566116333,0.14923204481601715,4.9192109145224094e-05,0.03627756983041763,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",8,uniform_int3,0.36393314599990845,0.9398577809333801,0.17669811844825745,0.9847332239151001,0.5970667600631714,0.9183716773986816,1.044161081314087,0.5691656470298767,0.9282621741294861,0.005404511000961065,0.0075425333343446255,82621.1015625,143,384,0.36393314599990845,0.9398577809333801,0.0004498522903304547,0.00044440373312681913,0.4724053144454956,0.00013620311801787466,2.713220783334691e-05,0.0005074585787951946,0.0004844816867262125,0.0008944059954956174,0.606447160243988,0.6073415279388428,0.3746757209300995,0.4701390266418457,0.15271323919296265,3.6030018236488104e-05,0.024429958313703537,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",4,uniform_int3,0.44434159994125366,0.911171555519104,0.30917954444885254,0.9545990824699402,0.8082581758499146,0.6288116574287415,1.0288785696029663,0.8039214611053467,0.6262364387512207,0.001476771547459066,0.003311352338641882,65.37999725341797,0,384,0.44434159994125366,0.911171555519104,0.00012018156121484935,0.00011217419523745775,0.5875218510627747,3.888784704031423e-05,7.87284443504177e-06,0.00014195742551237345,0.00012185260857222602,0.0,0.0,0.0,0.8013306856155396,0.18894346058368683,0.0022462629713118076,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",8,uniform_int3,0.43024498224258423,0.9171924591064453,0.2707815170288086,0.9649433493614197,0.8417714238166809,0.5698158740997314,1.0241388082504272,0.8377170562744141,0.5697205662727356,0.0012943907640874386,0.0028932325076311827,65.37999725341797,0,384,0.43024498224258423,0.9171924591064453,0.00010634955106070265,0.00010097823542309925,0.5679346919059753,3.350625411258079e-05,6.795458830310963e-06,0.0001245775492861867,0.00010881024354603142,0.0,0.0,0.0,0.8104244470596313,0.18318669497966766,0.002322664251551032,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",4,uniform_int3,0.43612390756607056,0.9141724705696106,0.30948299169540405,0.9544574022293091,0.8082970380783081,0.6286633014678955,1.0286415815353394,0.8033218383789062,0.6271892189979553,0.0014317674795165658,0.002989496337249875,63.810787200927734,0,384,0.43612390756607056,0.9141724705696106,0.00011658970470307395,0.00010958430357277393,0.5817082524299622,3.7575704482151195e-05,7.565677606180543e-06,0.00013719158596359193,0.00012188885011710227,0.0,0.0,0.0,0.7953042984008789,0.195824533700943,0.001976402010768652,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",8,uniform_int3,0.42758843302726746,0.9178614020347595,0.27194467186927795,0.9646207094192505,0.8413942456245422,0.5700559020042419,1.0227714776992798,0.8366694450378418,0.571553647518158,0.0012550681130960584,0.0024946858175098896,63.810787200927734,0,384,0.42758843302726746,0.9178614020347595,0.00010295456013409421,9.740891982801259e-05,0.5635350346565247,3.2710402592783794e-05,6.64615663481527e-06,0.00012028068886138499,0.0001061994262272492,0.0,0.0,0.0,0.8032945394515991,0.18958322703838348,0.0023759265895932913,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",4,uniform_int3,0.5644176006317139,0.8572291135787964,0.4353718161582947,0.9113499522209167,0.6292896270751953,0.8834306001663208,1.0493415594100952,0.6180741190910339,0.8739919662475586,0.007385001052170992,0.015406075865030289,68.17446899414062,0,384,0.5644176006317139,0.8572291135787964,0.000573600351344794,0.0005400355439633131,0.7337086796760559,0.00018827911117114127,3.833734808722511e-05,0.0007270626956596971,0.0005883115227334201,0.0,0.0,0.0,0.6750809550285339,0.281307190656662,0.0036380591336637735,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",8,uniform_int3,0.5507833361625671,0.8655001521110535,0.371753990650177,0.9347864985466003,0.6854597330093384,0.8088915944099426,1.0378046035766602,0.6730421781539917,0.8086577653884888,0.006225913763046265,0.014695403166115284,68.17446899414062,0,384,0.5507833361625671,0.8655001521110535,0.0004919572384096682,0.0004682850558310747,0.7087605595588684,0.0001593508495716378,3.2488478609593585e-05,0.000613385287579149,0.0005096926470287144,0.0,0.0,0.0,0.6937345862388611,0.27503710985183716,0.0038548470474779606,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
