seed,update,parameter_id,k,candidate,reference,match_type,raw_residual_l2_candidate,raw_residual_l2_reference,absolute_raw_l2_gap,update_cosine_gain_candidate_minus_reference,zero_fraction_candidate,zero_fraction_reference,zero_fraction_gap
1,128,transformer.h.0.attn.c_attn.weight,4,muon_global_codebook,mulaw_mu_1,nearest_raw_relative_l2,0.32601672410964966,0.3180338144302368,0.007982909679412842,-0.014024913311004639,0.36900046467781067,0.4380357563495636,0.06903529167175293
1,128,transformer.h.0.attn.c_attn.weight,4,muon_global_codebook,lloyd_global,nearest_zero_fraction,0.32601672410964966,0.2755567133426666,0.05046001076698303,-0.04710543155670166,0.36900046467781067,0.3295152485370636,0.03948521614074707
1,128,transformer.h.0.attn.c_attn.weight,4,geometry_codebook,mulaw_mu_1,nearest_raw_relative_l2,0.32601672410964966,0.3180338144302368,0.007982909679412842,-0.014024913311004639,0.36900046467781067,0.4380357563495636,0.06903529167175293
1,128,transformer.h.0.attn.c_attn.weight,4,geometry_codebook,lloyd_global,nearest_zero_fraction,0.32601672410964966,0.2755567133426666,0.05046001076698303,-0.04710543155670166,0.36900046467781067,0.3295152485370636,0.03948521614074707
1,128,transformer.h.0.attn.c_attn.weight,4,danger_zone_codebook,mulaw_mu_1,nearest_raw_relative_l2,0.32601672410964966,0.3180338144302368,0.007982909679412842,-0.014024913311004639,0.36900046467781067,0.4380357563495636,0.06903529167175293
1,128,transformer.h.0.attn.c_attn.weight,4,danger_zone_codebook,lloyd_global,nearest_zero_fraction,0.32601672410964966,0.2755567133426666,0.05046001076698303,-0.04710543155670166,0.36900046467781067,0.3295152485370636,0.03948521614074707
1,128,transformer.h.0.attn.c_attn.weight,4,muon_global_codebook_fine,mulaw_mu_5,nearest_raw_relative_l2,0.3037523031234741,0.2955639064311981,0.008188396692276001,-0.026102840900421143,0.36900046467781067,0.26528817415237427,0.1037122905254364
1,128,transformer.h.0.attn.c_attn.weight,4,muon_global_codebook_fine,lloyd_global,nearest_zero_fraction,0.3037523031234741,0.2755567133426666,0.028195589780807495,-0.02914416790008545,0.36900046467781067,0.3295152485370636,0.03948521614074707
1,128,transformer.h.0.attn.c_attn.weight,4,geometry_codebook_fine,mulaw_mu_5,nearest_raw_relative_l2,0.3037523031234741,0.2955639064311981,0.008188396692276001,-0.026102840900421143,0.36900046467781067,0.26528817415237427,0.1037122905254364
1,128,transformer.h.0.attn.c_attn.weight,4,geometry_codebook_fine,lloyd_global,nearest_zero_fraction,0.3037523031234741,0.2755567133426666,0.028195589780807495,-0.02914416790008545,0.36900046467781067,0.3295152485370636,0.03948521614074707
1,128,transformer.h.0.attn.c_attn.weight,4,danger_zone_codebook_fine,mulaw_mu_5,nearest_raw_relative_l2,0.3037523031234741,0.2955639064311981,0.008188396692276001,-0.026102840900421143,0.36900046467781067,0.26528817415237427,0.1037122905254364
1,128,transformer.h.0.attn.c_attn.weight,4,danger_zone_codebook_fine,lloyd_global,nearest_zero_fraction,0.3037523031234741,0.2755567133426666,0.028195589780807495,-0.02914416790008545,0.36900046467781067,0.3295152485370636,0.03948521614074707
1,128,transformer.h.0.attn.c_attn.weight,8,muon_global_codebook,mulaw_mu_1,nearest_raw_relative_l2,0.3282339870929718,0.3207065761089325,0.007527410984039307,-0.01688385009765625,0.36591029167175293,0.4355265200138092,0.06961622834205627
1,128,transformer.h.0.attn.c_attn.weight,8,muon_global_codebook,lloyd_global,nearest_zero_fraction,0.3282339870929718,0.2750338017940521,0.05320018529891968,-0.04742550849914551,0.36591029167175293,0.3321940004825592,0.033716291189193726
1,128,transformer.h.0.attn.c_attn.weight,8,geometry_codebook,mulaw_mu_1,nearest_raw_relative_l2,0.3282339870929718,0.3207065761089325,0.007527410984039307,-0.01688385009765625,0.36591029167175293,0.4355265200138092,0.06961622834205627
1,128,transformer.h.0.attn.c_attn.weight,8,geometry_codebook,lloyd_global,nearest_zero_fraction,0.3282339870929718,0.2750338017940521,0.05320018529891968,-0.04742550849914551,0.36591029167175293,0.3321940004825592,0.033716291189193726
1,128,transformer.h.0.attn.c_attn.weight,8,danger_zone_codebook,mulaw_mu_1,nearest_raw_relative_l2,0.3282339870929718,0.3207065761089325,0.007527410984039307,-0.01688385009765625,0.36591029167175293,0.4355265200138092,0.06961622834205627
1,128,transformer.h.0.attn.c_attn.weight,8,danger_zone_codebook,lloyd_global,nearest_zero_fraction,0.3282339870929718,0.2750338017940521,0.05320018529891968,-0.04742550849914551,0.36591029167175293,0.3321940004825592,0.033716291189193726
1,128,transformer.h.0.attn.c_attn.weight,8,muon_global_codebook_fine,mulaw_mu_5,nearest_raw_relative_l2,0.30582377314567566,0.2964802384376526,0.009343534708023071,-0.022947251796722412,0.36591029167175293,0.2634141743183136,0.10249611735343933
1,128,transformer.h.0.attn.c_attn.weight,8,muon_global_codebook_fine,lloyd_global,nearest_zero_fraction,0.30582377314567566,0.2750338017940521,0.030789971351623535,-0.025882482528686523,0.36591029167175293,0.3321940004825592,0.033716291189193726
1,128,transformer.h.0.attn.c_attn.weight,8,geometry_codebook_fine,mulaw_mu_5,nearest_raw_relative_l2,0.30582377314567566,0.2964802384376526,0.009343534708023071,-0.022947251796722412,0.36591029167175293,0.2634141743183136,0.10249611735343933
1,128,transformer.h.0.attn.c_attn.weight,8,geometry_codebook_fine,lloyd_global,nearest_zero_fraction,0.30582377314567566,0.2750338017940521,0.030789971351623535,-0.025882482528686523,0.36591029167175293,0.3321940004825592,0.033716291189193726
1,128,transformer.h.0.attn.c_attn.weight,8,danger_zone_codebook_fine,mulaw_mu_5,nearest_raw_relative_l2,0.30634987354278564,0.2964802384376526,0.009869635105133057,-0.025072753429412842,0.44297733902931213,0.2634141743183136,0.17956316471099854
1,128,transformer.h.0.attn.c_attn.weight,8,danger_zone_codebook_fine,mulaw_mu_1,nearest_zero_fraction,0.30634987354278564,0.3207065761089325,0.01435670256614685,0.0025336742401123047,0.44297733902931213,0.4355265200138092,0.00745081901550293
1,128,transformer.h.0.attn.c_proj.weight,4,muon_global_codebook,mulaw_mu_1,nearest_raw_relative_l2,0.32636839151382446,0.31699231266975403,0.009376078844070435,-0.02159714698791504,0.3074544370174408,0.3707614541053772,0.0633070170879364
1,128,transformer.h.0.attn.c_proj.weight,4,muon_global_codebook,lloyd_global,nearest_zero_fraction,0.32636839151382446,0.2731480598449707,0.05322033166885376,-0.04325389862060547,0.3074544370174408,0.2731052041053772,0.0343492329120636
1,128,transformer.h.0.attn.c_proj.weight,4,geometry_codebook,mulaw_mu_1,nearest_raw_relative_l2,0.32636839151382446,0.31699231266975403,0.009376078844070435,-0.02159714698791504,0.3074544370174408,0.3707614541053772,0.0633070170879364
1,128,transformer.h.0.attn.c_proj.weight,4,geometry_codebook,lloyd_global,nearest_zero_fraction,0.32636839151382446,0.2731480598449707,0.05322033166885376,-0.04325389862060547,0.3074544370174408,0.2731052041053772,0.0343492329120636
1,128,transformer.h.0.attn.c_proj.weight,4,danger_zone_codebook,mulaw_mu_1,nearest_raw_relative_l2,0.32636839151382446,0.31699231266975403,0.009376078844070435,-0.02159714698791504,0.3074544370174408,0.3707614541053772,0.0633070170879364
1,128,transformer.h.0.attn.c_proj.weight,4,danger_zone_codebook,lloyd_global,nearest_zero_fraction,0.32636839151382446,0.2731480598449707,0.05322033166885376,-0.04325389862060547,0.3074544370174408,0.2731052041053772,0.0343492329120636
1,128,transformer.h.0.attn.c_proj.weight,4,muon_global_codebook_fine,mulaw_mu_5,nearest_raw_relative_l2,0.3032362759113312,0.2948205769062042,0.008415699005126953,-0.022565782070159912,0.3074544370174408,0.21722412109375,0.0902303159236908
1,128,transformer.h.0.attn.c_proj.weight,4,muon_global_codebook_fine,lloyd_global,nearest_zero_fraction,0.3032362759113312,0.2731480598449707,0.030088216066360474,-0.024946928024291992,0.3074544370174408,0.2731052041053772,0.0343492329120636
