rounding_mode,shape,parameter_id,parameter_name,quantizer,bits,codebook,block_size,raw_zero_fraction,raw_momentum_relative_l2,raw_momentum_cosine,raw_momentum_norm_ratio,raw_momentum_metric_status,update_relative_l2,update_cosine,update_norm_ratio,update_metric_status,muon_update_relative_l2,muon_update_cosine,muon_update_norm_ratio,seed,update,snapshot,delta_raw_momentum_cosine,delta_raw_momentum_relative_l2,delta_muon_update_cosine,delta_muon_update_relative_l2
raw_direction_oracle,"[1024, 384]",transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,int4-dynamic-b2048,4,dynamic,2048,0.011179606430232525,0.18965545296669006,0.9830386638641357,1.0313526391983032,ok,0.41058778762817383,0.916738748550415,1.011566162109375,ok,0.41058778762817383,0.916738748550415,1.011566162109375,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,0.00046443939208984375,0.0028382986783981323,0.0022309422492980957,-0.00554695725440979
muon_update_direction_oracle,"[1024, 384]",transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,int4-dynamic-b2048,4,dynamic,2048,0.011220295913517475,0.18683922290802002,0.9825727343559265,1.0015023946762085,ok,0.41607800126075745,0.9145305752754211,1.0119317770004272,ok,0.41607800126075745,0.9145305752754211,1.0119317770004272,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,-1.4901161193847656e-06,2.206861972808838e-05,2.276897430419922e-05,-5.6743621826171875e-05
nearest,"[384, 1024]",transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,int4-dynamic-b2048,4,dynamic,2048,0.01889546774327755,0.22117044031620026,0.9753837585449219,0.9924107193946838,ok,0.5611578226089478,0.8438798189163208,1.0082924365997314,ok,0.5611578226089478,0.8438798189163208,1.0082924365997314,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,,,,
raw_direction_oracle,"[384, 1024]",transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,int4-dynamic-b2048,4,dynamic,2048,0.01883951760828495,0.22346316277980804,0.9755589962005615,1.0161889791488647,ok,0.5579443573951721,0.8458067178726196,1.0091809034347534,ok,0.5579443573951721,0.8458067178726196,1.0091809034347534,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,0.00017523765563964844,0.002292722463607788,0.0019268989562988281,-0.0032134652137756348
muon_update_direction_oracle,"[384, 1024]",transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,int4-dynamic-b2048,4,dynamic,2048,0.01889546774327755,0.22121606767177582,0.9753779172897339,0.9926640391349792,ok,0.5611068606376648,0.8439081907272339,1.0082924365997314,ok,0.5611068606376648,0.8439081907272339,1.0082924365997314,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,-5.841255187988281e-06,4.5627355575561523e-05,2.8371810913085938e-05,-5.0961971282958984e-05
nearest,"[1152, 384]",transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,int4-dynamic-b2048,4,dynamic,2048,0.010470920242369175,0.18376363813877106,0.9831427335739136,1.0015501976013184,ok,0.9444175958633423,0.5688689351081848,1.0331281423568726,ok,0.9444175958633423,0.5688689351081848,1.0331281423568726,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,,,,
raw_direction_oracle,"[1152, 384]",transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,int4-dynamic-b2048,4,dynamic,2048,0.010441533289849758,0.18642914295196533,0.9835853576660156,1.0304466485977173,ok,0.9414263963699341,0.5718671679496765,1.0337284803390503,ok,0.9414263963699341,0.5718671679496765,1.0337284803390503,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,0.0004426240921020508,0.002665504813194275,0.0029982328414916992,-0.002991199493408203
muon_update_direction_oracle,"[1152, 384]",transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,int4-dynamic-b2048,4,dynamic,2048,0.010470920242369175,0.1838202327489853,0.9831363558769226,1.0017670392990112,ok,0.9444178342819214,0.5688947439193726,1.0331858396530151,ok,0.9444178342819214,0.5688947439193726,1.0331858396530151,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,-6.377696990966797e-06,5.65946102142334e-05,2.580881118774414e-05,2.384185791015625e-07
nearest,"[384, 384]",transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,int4-dynamic-b2048,4,dynamic,2048,0.00994873046875,0.1868824064731598,0.9825736880302429,1.0019680261611938,ok,0.9973450303077698,0.5385547876358032,1.0721635818481445,ok,0.9973450303077698,0.5385547876358032,1.0721635818481445,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,,,,
raw_direction_oracle,"[384, 384]",transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,int4-dynamic-b2048,4,dynamic,2048,0.00994194857776165,0.1898290365934372,0.9831202626228333,1.033720850944519,ok,0.9924837946891785,0.5430912375450134,1.0722153186798096,ok,0.9924837946891785,0.5430912375450134,1.0722153186798096,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,0.000546574592590332,0.002946630120277405,0.004536449909210205,-0.004861235618591309
muon_update_direction_oracle,"[384, 384]",transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,int4-dynamic-b2048,4,dynamic,2048,0.00994873046875,0.18695931136608124,0.9825718402862549,1.002598762512207,ok,0.9972825646400452,0.5387070775032043,1.0723530054092407,ok,0.9972825646400452,0.5387070775032043,1.0723530054092407,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,-1.8477439880371094e-06,7.690489292144775e-05,0.00015228986740112305,-6.246566772460938e-05
nearest,"[1024, 384]",transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,int4-dynamic-b2048,4,dynamic,2048,0.014371235854923725,0.19061587750911713,0.9818277359008789,0.9997243285179138,ok,0.4990178942680359,0.8761001825332642,1.004826545715332,ok,0.4990178942680359,0.8761001825332642,1.004826545715332,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,,,,
raw_direction_oracle,"[1024, 384]",transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,int4-dynamic-b2048,4,dynamic,2048,0.01435089111328125,0.19350463151931763,0.9822125434875488,1.0289615392684937,ok,0.4925265610218048,0.8792715668678284,1.0045744180679321,ok,0.4925265610218048,0.8792715668678284,1.0045744180679321,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,0.0003848075866699219,0.0028887540102005005,0.003171384334564209,-0.006491333246231079
muon_update_direction_oracle,"[1024, 384]",transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,int4-dynamic-b2048,4,dynamic,2048,0.014371235854923725,0.1908247023820877,0.9818154573440552,1.001200795173645,ok,0.4988774061203003,0.8761653304100037,1.0047895908355713,ok,0.4988774061203003,0.8761653304100037,1.0047895908355713,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,-1.2278556823730469e-05,0.00020882487297058105,6.514787673950195e-05,-0.0001404881477355957
nearest,"[1024, 384]",transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,int4-dynamic-b2048,4,dynamic,2048,0.013577778823673725,0.19078870117664337,0.981793999671936,0.9996806383132935,ok,0.5012668967247009,0.8749992251396179,1.0049688816070557,ok,0.5012668967247009,0.8749992251396179,1.0049688816070557,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,,,,
raw_direction_oracle,"[1024, 384]",transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,int4-dynamic-b2048,4,dynamic,2048,0.01354217529296875,0.19349731504917145,0.9821430444717407,1.0273770093917847,ok,0.4969981014728546,0.8771608471870422,1.005293846130371,ok,0.4969981014728546,0.8771608471870422,1.005293846130371,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,0.0003490447998046875,0.002708613872528076,0.0021616220474243164,-0.0042687952518463135
