scope,rounding_mode,snapshots,raw_momentum_cosine,raw_momentum_relative_l2,muon_update_cosine,muon_update_relative_l2,update_cosine_headroom,update_l2_reduction_fraction
seed0,nearest,5,0.9787122618093542,0.20595796015058193,0.7442283911742369,0.7226690217720673,,
seed0,raw_direction_oracle,5,0.9790351441875396,0.20855223056635022,0.7469549398236918,0.7188451494214211,0.002726548649454874,0.005291319034638584
seed0,muon_update_direction_oracle,5,0.9786886688310934,0.20614048799960066,0.7442955293076825,0.7225365576476958,6.713813344561004e-05,0.00018329846773657832
seed1,nearest,5,0.9782914318745929,0.207904447506357,0.7417574509479135,0.7260861913846954,,
seed1,raw_direction_oracle,5,0.9785819902070105,0.2104566436763758,0.7443740120814111,0.7223808816206395,0.002616561133497619,0.005103126609514007
seed1,muon_update_direction_oracle,5,0.9782705971117748,0.20808245928706434,0.7418489779896081,0.7259169614143035,9.15270416946834e-05,0.0002330714623138521
all10,nearest,10,0.9785018468419736,0.20693120382846947,0.7429929210610752,0.7243776065783814,,
all10,raw_direction_oracle,10,0.9788085671972752,0.20950443712136296,0.7456644759525515,0.7206130155210303,0.002671554891476302,0.005197000877944319
all10,muon_update_direction_oracle,10,0.9784796329714341,0.20711147364333252,0.7430722536486453,0.7242267595309997,7.93325875700912e-05,0.0002082436646463908
