seed,update,rounding_mode,snapshot,raw_relative_l2,raw_momentum_relative_l2,raw_cosine,raw_momentum_cosine,raw_norm_ratio,raw_momentum_norm_ratio,raw_metric_status,raw_momentum_metric_status,update_relative_l2,muon_update_relative_l2,update_cosine,muon_update_cosine,update_norm_ratio,muon_update_norm_ratio,update_metric_status,muon_update_metric_status,delta_raw_momentum_cosine,delta_raw_momentum_relative_l2,delta_muon_update_cosine,delta_muon_update_relative_l2,update_cosine_headroom,update_l2_reduction_fraction
0,128,nearest,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,0.20214327186278208,0.20214327186278208,0.9795123884020084,0.9795123884020084,0.9970176925023908,0.9970176925023908,ok,ok,0.7983404717559333,0.7983404717559333,0.6851437075694193,0.6851437075694193,1.0118996271722942,1.0118996271722942,ok,ok,,,,,,
0,128,raw_direction_oracle,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,0.20470514229017778,0.20470514229017778,0.9798466800924505,0.9798466800924505,1.0246089241696874,1.0246089241696874,ok,ok,0.7945326121418667,0.7945326121418667,0.6882416192553152,0.6882416192553152,1.012214791689261,1.012214791689261,ok,ok,0.00033429169044207896,0.002561870427395696,0.0030979116858959044,-0.0038078596140666,0.0030979116858959044,0.004769718871562771
0,128,muon_update_direction_oracle,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,0.2022376262518297,0.2022376262518297,0.9795020040200264,0.9795020040200264,0.9975081646452368,0.9975081646452368,ok,ok,0.7982338980439432,0.7982338980439432,0.6852278387226606,0.6852278387226606,1.0118997815474933,1.0118997815474933,ok,ok,-1.0384381981975999e-05,9.435438904761839e-05,8.413115324124032e-05,-0.0001065737119900767,8.413115324124032e-05,0.00013349406144432343
0,512,nearest,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000512.pt,0.20449494161871798,0.20449494161871798,0.9790309938789274,0.9790309938789274,0.996916637543153,0.996916637543153,ok,ok,0.7255203380071281,0.7255203380071281,0.7437745406243947,0.7437745406243947,1.025874364017295,1.025874364017295,ok,ok,,,,,,
0,512,raw_direction_oracle,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000512.pt,0.20710637545486854,0.20710637545486854,0.9793926546057007,0.9793926546057007,1.0252512732648833,1.0252512732648833,ok,ok,0.721648145935965,0.721648145935965,0.7465348962443871,0.7465348962443871,1.025981443341659,1.025981443341659,ok,ok,0.00036166072677323857,0.002611433836150562,0.0027603556199923274,-0.003872192071163072,0.0027603556199923274,0.0053371240864167595
0,512,muon_update_direction_oracle,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000512.pt,0.20455689796769103,0.20455689796769103,0.9790252267203404,0.9790252267203404,0.9972992545201457,0.9972992545201457,ok,ok,0.7253975738428471,0.7253975738428471,0.7438449959022734,0.7438449959022734,1.0258149137114676,1.0258149137114676,ok,ok,-5.767158587022259e-06,6.19563489730468e-05,7.045527787863382e-05,-0.00012276416428103065,7.045527787863382e-05,0.00016920843958453515
0,1024,nearest,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_001024.pt,0.20583421262198304,0.20583421262198304,0.9787407892670603,0.9787407892670603,0.996097655063338,0.996097655063338,ok,ok,0.7205508297010041,0.7205508297010041,0.7477948632115329,0.7477948632115329,1.0277781398843864,1.0277781398843864,ok,ok,,,,,,
0,1024,raw_direction_oracle,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_001024.pt,0.2084674705160927,0.2084674705160927,0.9790762415809848,0.9790762415809848,1.0243413452557784,1.0243413452557784,ok,ok,0.7165277718847652,0.7165277718847652,0.7506603019206415,0.7506603019206415,1.0279740831998452,1.0279740831998452,ok,ok,0.00033545231392451136,0.002633257894109675,0.002865438709108603,-0.004023057816238906,0.002865438709108603,0.005583308838750894
0,1024,muon_update_direction_oracle,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_001024.pt,0.20598779837933642,0.20598779837933642,0.9787245482665691,0.9787245482665691,0.9969641357294263,0.9969641357294263,ok,ok,0.7203981993865096,0.7203981993865096,0.7478824380262916,0.7478824380262916,1.0277068198060069,1.0277068198060069,ok,ok,-1.6241000491246105e-05,0.0001535857573533861,8.757481475873963e-05,-0.00015263031449452846,8.757481475873963e-05,0.0002118244934335349
0,2048,nearest,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_002048.pt,0.20823632185070542,0.20823632185070542,0.9782377994456533,0.9782377994456533,0.9958896854226856,0.9958896854226856,ok,ok,0.6907107604963529,0.6907107604963529,0.7680226161688649,0.7680226161688649,1.0267504655224777,1.0267504655224777,ok,ok,,,,,,
